CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2011-2,13,2014-2,56,61,8125.709999999994,1907.34
2011-2,14,2014-3,57,60,12848.72,2155.2500000000005
2011-2,15,2014-4,56,59,9041.669999999998,1456.2399999999993
2011-2,16,2015-1,39,41,3766.8399999999974,1046.3100000000002
2011-2,17,2015-2,51,54,8373.629999999996,1830.0700000000004
2011-2,18,2015-3,46,51,6729.919999999995,1549.1900000000003
2011-2,19,2015-4,34,36,4528.459999999996,660.7300000000002
2011-2,20,2016-1,29,30,4407.019999999999,584.4699999999999
2011-2,21,2016-2,36,40,5383.189999999997,1284.95
2011-2,22,2016-3,33,35,5066.079999999997,1254.54
2011-2,23,2016-4,20,20,2522.4599999999996,432.82000000000005
2011-2,24,2017-1,19,19,2235.6900000000005,471.86
2011-2,25,2017-2,22,23,4099.69,1103.62
2011-2,26,2017-3,3,3,379.8,19.25
2011-3,1,2011-3,2321,3004,417646.21000001614,82473.1999999997
2011-3,2,2011-4,280,299,37599.66000000001,9023.630000000001
2011-3,3,2012-1,254,272,32413.04000000011,7104.549999999994
2011-3,4,2012-2,224,255,31653.07000000011,7036.910000000002
2011-3,5,2012-3,239,261,28940.790000000077,7647.919999999999
2011-3,6,2012-4,136,154,14243.020000000011,3973.9100000000017
2011-3,7,2013-1,111,129,18652.60000000003,4126.91
2011-3,8,2013-2,103,108,9466.269999999995,2734.2400000000007
2011-3,9,2013-3,96,100,11417.550000000005,2311.5199999999995
2011-3,10,2013-4,79,93,15473.750000000007,2524.750000000001
2011-3,11,2014-1,61,67,6508.069999999992,1528.4999999999995
2011-3,12,2014-2,69,72,11902.800000000005,2695.63
2011-3,13,2014-3,78,78,8696.929999999993,2290.52
2011-3,14,2014-4,64,67,7748.859999999993,1855.5600000000004
2011-3,15,2015-1,50,57,5468.569999999996,1317.1299999999999
2011-3,16,2015-2,51,54,6028.2899999999945,1260.7700000000002
2011-3,17,2015-3,56,57,9806.79,1883.8999999999992
2011-3,18,2015-4,43,47,5964.5799999999945,1282.3600000000001
2011-3,19,2016-1,35,44,4784.5099999999975,1169.8900000000003
2011-3,20,2016-2,49,52,5490.439999999997,1204.74
2011-3,21,2016-3,35,38,3212.4700000000003,709.7100000000002
2011-3,22,2016-4,45,49,7970.209999999994,1932.1699999999994
2011-3,23,2017-1,29,30,3453.809999999998,559.2299999999999
2011-3,24,2017-2,22,24,1915.9300000000003,518.22
2011-4,1,2011-4,2780,3669,463615.46000002057,99787.38999999978
